Hypothesis,Pearson_r,Pearson_p,Spearman_r,Spearman_p,R2_score,Slope,Intercept
Altitude Index (Lower is better),-0.6568626722894959,0.014724087361700906,-0.521978021978022,0.06729171199351018,0.43146857024729746,-3.2957848176932303,72.4175943526749
Distance Index (Closer to 1 is better),-0.4830863403151897,0.09447081133823827,-0.3131868131868132,0.2974384220710292,0.2333724121991234,-166.42546399901715,70.726548443211
